==== Broken events ====
Total broken events: 78
{'episode': 152, 'step': 13, 'customer_index': 2, 'customer_instance_id': 'dyn-98', 'x': 1.28, 'y': 4.35, 'demand': 9.57}
{'episode': 152, 'step': 25, 'customer_index': 0, 'customer_instance_id': 'dyn-99', 'x': -8.07, 'y': -3.79, 'demand': 8.24}
{'episode': 152, 'step': 30, 'customer_index': 9, 'customer_instance_id': 'dyn-100', 'x': -8.34, 'y': -0.31, 'demand': 34.49}
{'episode': 165, 'step': 27, 'customer_index': 8, 'customer_instance_id': 'dyn-101', 'x': -2.45, 'y': 7.67, 'demand': 10.68}
{'episode': 165, 'step': 30, 'customer_index': 6, 'customer_instance_id': 'dyn-102', 'x': 0.48, 'y': -6.01, 'demand': 6.67}
{'episode': 167, 'step': 15, 'customer_index': 1, 'customer_instance_id': 'dyn-103', 'x': 3.01, 'y': 4.85, 'demand': 29.98}
{'episode': 167, 'step': 27, 'customer_index': 7, 'customer_instance_id': 'dyn-104', 'x': 0.38, 'y': -9.36, 'demand': 23.62}
{'episode': 167, 'step': 30, 'customer_index': 4, 'customer_instance_id': 'dyn-105', 'x': -2.65, 'y': -7.67, 'demand': 21.95}
{'episode': 172, 'step': 23, 'customer_index': 8, 'customer_instance_id': 'dyn-106', 'x': 8.97, 'y': 3.55, 'demand': 8.62}
{'episode': 172, 'step': 25, 'customer_index': 3, 'customer_instance_id': 'dyn-107', 'x': -4.62, 'y': -4.7, 'demand': 13.47}
{'episode': 172, 'step': 29, 'customer_index': 3, 'customer_instance_id': 'dyn-108', 'x': 6.75, 'y': -1.68, 'demand': 41.66}
{'episode': 173, 'step': 20, 'customer_index': 0, 'customer_instance_id': 'dyn-109', 'x': 1.08, 'y': -6.77, 'demand': 35.6}
{'episode': 173, 'step': 24, 'customer_index': 9, 'customer_instance_id': 'dyn-110', 'x': 1.49, 'y': -9.6, 'demand': 31.19}
{'episode': 175, 'step': 17, 'customer_index': 8, 'customer_instance_id': 'dyn-111', 'x': -3.42, 'y': 0.14, 'demand': 9.14}
{'episode': 175, 'step': 22, 'customer_index': 3, 'customer_instance_id': 'dyn-112', 'x': 4.71, 'y': 2.75, 'demand': 29.96}
{'episode': 180, 'step': 20, 'customer_index': 2, 'customer_instance_id': 'dyn-113', 'x': -0.24, 'y': -0.57, 'demand': 26.05}
{'episode': 180, 'step': 22, 'customer_index': 7, 'customer_instance_id': 'dyn-114', 'x': 8.69, 'y': 3.22, 'demand': 29.44}
